No.,Content,Score,At,Label
1,"['jelek', 'tolong', 'duit', 'gue', 'ribu', 'ngendap', 'ribu', 'gue', 'gue', 'kerja', 'gaji', 'umr', 'tolong', 'aplikasi', 'kali', 'benah']",1,06/01/2024 02.59,Negatif
2,"['tinggal', 'bis', 'lapor', 'lapor', 'rumit', 'banget', 'bayar', 'deh', 'potong', 'a']",1,10/01/2024 11.10,Negatif
3,"['pelihara', 'sistem', 'minimal', 'data', 'beli', 'orang', 'bayar', 'tiket', 'masuk', 'aplikasi', 'barcode', 'gila', 'jam', 'jam', 'subuh', 'up', 'jaring', 'halte', 'jalan', 'kaki', 'halte', 'pakai', 'tiket', 'jaklingko', 'jaklingko', 'telpon', 'angkat', 'ulang', 'kali', 'kali', 'mending', 'mikir', 'deh', 'download', 'susah', 'mending', 'mikir', 'download', 'aplikasi']",1,13/01/2024 14.50,Negatif
4,"['bayar', 'salah', 'balikin', 'dana', 'ngemis', 'gilir', 'lempar', 'bayar']",1,15/01/2024 00.51,Negatif
5,"['aplikasi', 'gagunaeror']",1,15/01/2024 01.38,Negatif
6,"['tim', 'aplikasi', 'kerja', 'tolol', 'kali', 'ya', 'aplikasi', 'hapus', 'jelek']",1,16/01/2024 10.47,Negatif
7,"['aplikasi', 'sampah', 'duit', 'pemda', 'buang', 'aplikasi']",1,21/01/2024 00.25,Negatif
8,"['kocak', 'sistem', 'tangan', 'keluh', 'nasabah']",1,22/01/2024 02.11,Negatif
9,"['tulis', 'nomor', 'hp', 'nomor', 'otp', 'muncul', 'muncul', 'pesan', 'tolol', 'banget', 'asw', 'aplikasi']",1,23/01/2024 08.27,Negatif
10,"['aplikasi', 'alat', 'halte', 'csw', 'utama', 'rusak', 'disaranin', 'pakai', 'aplikasi', 'pakai', 'last', 'ending', 'gojek', 'mbak', 'mbak', 'ramah']",1,26/01/2024 17.38,Negatif
11,['aplikasi'],1,27/01/2024 03.45,Negatif
12,"['kecewa', 'kali', 'hasil', 'transaksi', 'tiket', 'bayar', 'hasil', 'uang', 'tunggu', 'minggu', 'uang']",1,28/01/2024 08.05,Negatif
13,['aplikasi'],1,29/01/2024 02.52,Negatif
14,"['saldo', 'gua', 'potong', 'qris', 'pakai', 'komplain', 'sampah', 'refund', 'deh', 'refund', 'aplikasi', 'sampah', 'gasiap', 'kota', 'modern', 'sok', 'aplikasi', 'kayak']",1,04/02/2024 12.58,Negatif
15,"['uninstall', 'pesan', 'tiket', 'scan', 'sulit', 'rumit']",1,05/02/2024 13.05,Negatif
16,"['kali', 'beli', 'tiket', 'transjakarta', 'confirm', 'bayar', 'halte', 'berangkat', 'beda', 'scan', 'tiket', 'pakai']",1,06/02/2024 18.42,Negatif
17,"['aplikasi', 'sampah']",1,07/02/2024 05.31,Negatif
18,"['aplikasi', 'cari', 'rute', 'temu', 'jaklinko']",1,13/02/2024 02.10,Negatif
19,"['saldo', 'ribu', 'pakai', 'refund', 'lemah', 'transaksi', 'hasil']",1,15/02/2024 13.41,Negatif
20,"['kecewa', 'aplikasi', 'jaklingko', 'kali', 'pesan', 'tiket', 'hasil', 'uang', 'bayar', 'uang']",1,21/02/2024 08.16,Negatif
21,"['aplikasi', 'kon']",1,21/02/2024 14.27,Negatif
22,"['rumit', 'sampah', 'aplikasi']",1,24/02/2024 23.34,Negatif
23,"['masuk', 'titik', 'bayar', 'eh', 'scan', 'gate', 'gara', 'gara', 'titik', 'ubah', 'tibatiba', 'kali', 'pakai', 'aplikasi', 'scan']",1,25/02/2024 23.53,Negatif
24,['jelek'],1,26/02/2024 12.28,Negatif
25,"['aplikasi', 'buruk', 'buang', 'anggar', 'negara']",1,03/03/2024 13.48,Negatif
26,"['aplikasi', 'bodoh', 'the', 'point', 'rumit', 'pakai', 'suruh', 'kesana', 'kemari', 'baca', 'detail']",1,03/03/2024 16.28,Negatif
27,"['pakai', 'aplikasi', 'buru', 'buru', 'aplikasi', 'lambat', 'server', 'down', 'fungsi', 'scan', 'kadang', 'sulit', 'salah', 'pilih', 'halte', 'refund', 'pokok', 'aplikasi', 'user', 'hostile', 'mending', 'beli', 'kartu', 'jaklingko', 'program', 'benah']",1,04/03/2024 05.42,Negatif
28,"['kasih', 'bintang', 'hapus', 'google', 'biar', 'kena', 'double', 'charge', 'saldo']",1,08/03/2024 15.56,Negatif
29,"['lambat', 'muter']",1,09/03/2024 20.26,Negatif
30,"['tunggu', 'jam', 'mrt', 'gara', 'aplikasi', 'error', 'buka', 'data', 'seluler', 'bagus']",1,12/03/2024 15.10,Negatif
31,"['jam', 'sibuk', 'usaha', 'kendala', 'aplikasi', 'jam', 'pulang', 'kantor', 'error']",1,21/03/2024 10.02,Negatif
32,"['aplikadi', 'asa', 'pakai', 'transjakarta', 'a', 'pantai', 'maju', 'eh', 'mah', 'kagak', 'aplikasi', 'lucu', 'jaklingko', 'mikrotik', 'transjakarta', 'baca', 'pergi']",1,30/03/2024 20.33,Negatif
33,"['sumpah', 'ya', 'allah', 'aplikasi', 'orang', 'emosigue', 'halte', 'blok', 'out', 'tugas']",1,01/04/2024 00.51,Negatif
34,"['layak', 'aplikasi']",1,05/04/2024 02.12,Negatif
35,"['tolong', 'sistem', 'susah', 'gue', 'beli', 'tiket', 'jaklingko', 'halte', 'mayor', 'slesai', 'bar', 'ubah', 'rute', 'halte', 'pasar', 'timur', 'kali', 'menit', 'gue', 'beliblagi', 'aneh', 'banget', 'woy']",1,16/04/2024 04.44,Negatif
36,['jelek'],1,22/04/2024 03.38,Negatif
37,"['aplikasi', 'sampah', 'topup', 'saldo']",1,26/04/2024 07.21,Negatif
38,"['kemudi', 'mobil', 'ugalugalan', 'malas', 'ambil', 'tumpang', 'cepat', 'doang', 'ambil', 'tumpang']",1,01/05/2024 08.08,Negatif
39,"['tolong', 'supir', 'jaklingko', 'niat', 'kerja', 'resign', 'mending', 'mentang', 'gratis', 'layan', 'kayak', 'kotor', 'hewan', 'najis']",1,04/05/2024 10.30,Negatif
40,"['qr', 'tiru', 'aplikasi', 'transjakarta']",1,05/05/2024 07.44,Negatif
41,"['aplikasi', 'salah']",1,05/05/2024 10.35,Negatif
43,"['aplikasi', 'buruk', 'server', 'lambat', 'penetuan', 'lokasi', 'pergi', 'akurat', 'user', 'friendly', 'adakan', 'fitur', 'beli', 'tiket', 'aplikasi', 'go', 'grab', 'shopee', 'banding', 'aplikasi', 'fitur', 'fokus', 'serius', 'tugas', 'utama', 'aplikasi', 'overall', 'ui', 'ux', 'sesuai', 'harap']",1,08/05/2024 16.58,Negatif
44,"['aplikasi', 'rumit', 'scam', 'saldo', 'ewallet', 'potong', 'proses', 'berbulanbulan', 'aju', 'dana']",1,11/05/2024 05.32,Negatif
45,"['pagi', 'suami', 'tabrak', 'angkot', 'jaklingko', 'jaklingko', 'tanggung', 'please', 'jaklingko', 'jaklingko', 'ngejar', 'setor', 'kalo', 'bawa', 'mobil', 'ngebut', 'ngebut']",1,14/05/2024 00.27,Negatif
46,"['buruk', 'beli', 'tiket', 'kode', 'qris', 'scan']",1,14/05/2024 00.35,Negatif
